source,topic,decay_rate,half_life_days,r2,n_obs,avg_tone,first_date,year,tone_category
abc,"WB_621_HEALTH_NUTRITION_AND_POPULATION,13",2.5526696200658426e-35,2.7153814779292374e+34,0.0,25,,2016-04-11 16:45:00,2016,unknown
abc,"WB_621_HEALTH_NUTRITION_AND_POPULATION,1396",1.1357115461184736e-06,610319.7444183055,4.2715392106540406e-05,5,,2016-05-04 19:45:00,2016,unknown
abc,"WB_621_HEALTH_NUTRITION_AND_POPULATION,1870",0.0012225313789489792,566.977005658415,0.12603257498160603,6,,2020-05-10 15:00:00,2020,unknown
abc,"WB_621_HEALTH_NUTRITION_AND_POPULATION,1915",5.3830464687512066e-05,12876.485175888625,0.23223438582417055,9,,2016-05-29 18:00:00,2016,unknown
abc,"WB_621_HEALTH_NUTRITION_AND_POPULATION,195",3.190914292555644e-05,21722.525803248536,0.0626924992428457,9,,2016-07-07 15:30:00,2016,unknown
abc,"WB_621_HEALTH_NUTRITION_AND_POPULATION,2222",9.683220034716377e-05,7158.230196926922,0.18562097259366517,5,,2020-06-26 09:45:00,2020,unknown
abc,"WB_621_HEALTH_NUTRITION_AND_POPULATION,236",5.133991792406892e-05,13501.135346283589,0.0356054926343915,11,,2020-01-28 13:00:00,2020,unknown
abc,"WB_621_HEALTH_NUTRITION_AND_POPULATION,240",3.850473692771542e-05,18001.608006339167,0.1395772685169946,15,,2016-05-19 19:30:00,2016,unknown
abc,"WB_621_HEALTH_NUTRITION_AND_POPULATION,253",8.619185910682098e-05,8041.910079940388,0.3090844579107055,12,,2016-05-24 15:00:00,2016,unknown
abc,"WB_621_HEALTH_NUTRITION_AND_POPULATION,294",0.0008780021310495922,789.4595651280877,0.3792577924325874,8,,2020-02-25 12:15:00,2020,unknown
abc,"WB_621_HEALTH_NUTRITION_AND_POPULATION,351",2.034243928800303e-06,340739.46135296044,0.00019351528116096084,8,,2016-04-20 18:45:00,2016,unknown
abc,"WB_621_HEALTH_NUTRITION_AND_POPULATION,492",5.6370127945266846e-05,12296.35634733637,0.14446638633222564,16,,2016-02-08 18:15:00,2016,unknown
abc,"WB_621_HEALTH_NUTRITION_AND_POPULATION,544",5.2810547571849385e-05,13125.165566914644,0.07894818950473081,8,,2020-01-29 21:30:00,2020,unknown
abc,"WB_621_HEALTH_NUTRITION_AND_POPULATION,561",1.5763720316604247e-05,43971.0402518268,0.010113864696018049,8,,2016-04-28 16:15:00,2016,unknown
abc,"WB_621_HEALTH_NUTRITION_AND_POPULATION,75",2.426001991290102e-05,28571.583331279242,0.03604164502148821,9,,2016-03-29 18:15:00,2016,unknown
