source,topic,decay_rate,half_life_days,r2,n_obs,avg_tone,first_date,year
msnbc,"TAX_FNCACT_PRESIDENT,56",2.3794057734989496e-35,2.9131104424474123e+34,0.0,28,,2016-10-19 15:30:00,2016
msnbc,"TAX_FNCACT_PRESIDENT,59",7.312839720209941e-06,94784.95455662004,0.0031814706982365992,28,,2016-01-21 12:45:00,2016
msnbc,"TAX_FNCACT_PRESIDENT,63",1.4941724131168393e-35,4.639004002985454e+34,0.0,39,,2016-01-09 16:00:00,2016
msnbc,"TAX_FNCACT_PRESIDENT,65",1.0658822386478899e-35,6.503037159519868e+34,0.0,29,,2016-03-13 17:45:00,2016
msnbc,"TAX_FNCACT_PRESIDENT,68",2.52869107204709e-05,27411.303350662412,0.0463861477730616,25,,2016-04-27 16:30:00,2016
msnbc,"TAX_FNCACT_PRESIDENT,72",3.9197758703385874e-05,17683.33709600778,0.08523941841218008,31,,2020-01-15 20:00:00,2020
msnbc,"TAX_FNCACT_PRESIDENT,76",8.135939714671165e-06,85195.71246453865,0.012633362382912017,41,,2016-02-19 15:30:00,2016
msnbc,"TAX_FNCACT_PRESIDENT,83",3.52775838938328e-35,1.9648374521507996e+34,0.0,36,,2016-02-16 02:15:00,2016
msnbc,"TAX_FNCACT_PRESIDENT,89",1.1154032410608628e-05,62143.19225939233,0.015092479868596409,31,,2016-03-11 04:30:00,2016
msnbc,"TAX_FNCACT_PRESIDENT,91",4.745827664371018e-06,146054.01408982908,0.006251621415479081,36,,2016-01-25 23:00:00,2016
msnbc,"TAX_FNCACT_PRESIDENT,93",8.750073214068648e-35,7.921615780831194e+33,0.0,39,,2016-01-01 19:45:00,2016
msnbc,"TAX_FNCACT_PRESIDENT,98",2.971456187811443e-35,2.332685177735926e+34,0.0,37,,2016-05-15 22:15:00,2016
msnbc,"TAX_FNCACT_PRESIDENT,99",8.819067880029198e-06,78596.42197896887,0.012557755061097686,32,,2016-01-06 02:30:00,2016
msnbc,"TAX_FNCACT_REPORTER,41",4.189505094668644e-05,16544.846345741647,0.04274248444165174,10,,2020-02-29 05:45:00,2020
msnbc,"TAX_FNCACT_REPORTER,47",5.808247443663558e-05,11933.84385364171,0.07618459731840477,7,,2020-03-19 19:15:00,2020
msnbc,"TAX_FNCACT_REPRESENTATIVES,28",3.939050073888751e-05,17596.810590317,0.07946782339607483,13,,2020-01-11 03:15:00,2020
msnbc,"TAX_FNCACT_SECRETARY,14",2.3130301204933256e-05,29967.062444137566,0.01978081907030871,5,,2016-12-13 14:30:00,2016
msnbc,"TAX_FNCACT_SECRETARY,16",1.791836714697982e-05,38683.61301419012,0.0330677663385226,23,,2016-07-29 16:00:00,2016
msnbc,"TAX_FNCACT_SECRETARY_OF_STATE,25",2.1520376301005947e-05,32208.878267967128,0.038858546693098184,16,,2016-07-29 16:00:00,2016
msnbc,"TAX_FNCACT_SENATOR,7",1.3559796821884445e-05,51117.81464463098,0.0038831963920537005,173,,2016-04-23 15:45:00,2016
msnbc,"TAX_FNCACT_SPEAKER,13",3.057395790049616e-05,22671.16291635558,0.02986054542153871,94,,2016-11-01 21:30:00,2016
msnbc,"TAX_FNCACT_SPEAKER,7",1.0154012836292242e-35,6.826337446438066e+34,0.0,38,,2016-05-11 16:45:00,2016
msnbc,"TAX_FNCACT_VICE_PRESIDENT,68",8.202543362780708e-05,8450.3933707333,0.1524327568577486,5,,2020-05-07 05:15:00,2020
msnbc,"TAX_FNCACT_VICE_PRESIDENT,91",2.528387804609899e-05,27414.591199030478,0.03520093066359575,7,,2016-05-12 16:15:00,2016
msnbc,"TAX_FNCACT_WOMEN,243",6.550352374104164e-05,10581.830426408795,0.05589684232053427,5,,2020-07-28 06:15:00,2020
msnbc,"TAX_FNCACT_WOMEN,5",5.566472799342362e-05,12452.179423958301,0.19911389225857823,9,,2016-04-27 19:00:00,2016
msnbc,"TAX_POLITICAL_PARTY_REPUBLICAN,11",7.009455907217051e-06,98887.44429453783,0.0025922524337330666,61,,2016-01-04 18:30:00,2016
msnbc,"TAX_POLITICAL_PARTY_REPUBLICAN,140",4.602779640926134e-05,15059.317078678914,0.17958628859385461,6,,2016-05-03 22:30:00,2016
msnbc,"TAX_WORLDBIRDS_CROW,15",5.676449440110354e-05,12210.928466341982,0.048649468005817265,5,,2020-01-30 18:15:00,2020
msnbc,"TAX_WORLDMAMMALS_TUR,8",2.18146683718801e-05,31774.362495165737,0.04066365719491194,27,,2020-02-03 23:45:00,2020
